full_name,shirt_number,primary_position,secondary_position,squad_status,expected_absence_until,birth_date,dominant_foot,appearances,starts,substitute_appearances,substituted_off,minutes_played,goals,assists,yellow_cards,red_cards
אורי כהן,1,שוער,,active,,2007-02-18,right,34,34,0,2,3060,0,1,2,0
דניאל לוי,13,שוער,,active,,2008-09-04,right,4,2,2,0,210,0,0,0,0
יואב מזרחי,2,מגן ימני,בלם,active,,2007-05-12,right,31,25,6,12,2315,1,5,6,0
איתי ברק,3,בלם,מגן שמאלי,active,,2007-11-27,left,29,27,2,5,2470,2,1,7,1
נועם פרץ,4,בלם,,active,,2008-01-10,right,33,31,2,4,2805,3,2,5,0
עידו רון,5,בלם,קשר אחורי,active,,2007-07-22,right,24,19,5,8,1780,1,1,4,0
רועי אברהם,6,קשר אחורי,בלם,active,,2007-03-08,right,32,28,4,15,2410,4,6,8,0
תומר שחר,7,כנף ימין,קשר התקפי,active,,2008-06-16,right,30,20,10,13,1945,8,9,3,0
אדם יעקב,8,קשר מרכזי,קשר התקפי,active,,2007-12-03,right,35,33,2,18,2860,7,11,9,0
ליאור כץ,9,חלוץ,כנף שמאל,active,,2007-04-25,right,34,29,5,17,2605,18,5,2,0
אורי בן דוד,10,קשר התקפי,קשר מרכזי,active,,2008-08-11,left,33,30,3,20,2540,10,14,4,0
ניב אשכנזי,11,כנף שמאלי,חלוץ,active,,2007-10-19,left,31,24,7,14,2150,11,8,5,0
רון מלול,12,מגן שמאלי,כנף שמאל,active,,2008-03-14,left,28,21,7,9,1910,2,6,6,0
שחר לוי,14,בלם,מגן ימני,active,,2007-09-30,right,22,16,6,6,1490,1,0,3,0
אלון ממן,15,קשר מרכזי,קשר אחורי,active,,2008-02-06,right,27,15,12,11,1560,3,4,5,0
איליי גולן,16,כנף ימין,כנף שמאל,active,,2008-05-21,right,26,12,14,8,1245,5,7,1,0
עמית זיו,17,חלוץ,קשר התקפי,active,,2007-01-29,left,25,10,15,7,1090,9,3,2,0
יהלי מימון,18,מגן שמאלי,בלם,active,,2008-11-07,left,20,11,9,5,1020,0,2,4,0
מתן סגל,19,קשר מרכזי,כנף ימין,active,,2007-06-09,right,23,9,14,6,960,2,5,3,0
איתי אלפסי,20,שוער,,active,,2008-04-17,right,1,0,1,0,90,0,0,0,0
גיא עמית,21,מגן ימני,כנף ימין,active,,2008-07-26,right,18,8,10,5,760,1,3,2,0
אריאל טל,22,כנף שמאלי,קשר התקפי,active,,2007-08-15,left,21,7,14,4,730,4,3,1,0
ליאם שקד,23,בלם,קשר אחורי,active,,2008-12-01,right,15,5,10,3,540,0,1,2,0
עומרי בן חור,24,חלוץ,כנף ימין,active,,2008-10-23,right,17,4,13,2,485,3,2,1,0
