full_name,shirt_number,primary_position,secondary_position,squad_status,expected_absence_until,birth_date,dominant_foot
אורי כהן,1,שוער,,active,,2009-02-14,right
נועם לוי,12,שוער,,active,,2009-06-30,left
איתי פרץ,2,מגן,בלם,active,,2009-01-18,right
עידו ביטון,3,בלם,מגן,active,,2009-04-22,left
רון אברהם,4,בלם,,active,,2009-08-09,right
יואב מזרחי,5,מגן,קשר,active,,2009-03-27,left
תום ישראלי,6,קשר,בלם,active,,2009-05-16,right
עומר דהן,7,כנף,חלוץ,active,,2009-09-11,right
דניאל בן דוד,8,קשר,,active,,2009-07-04,left
אדם אלון,9,חלוץ,כנף,active,,2009-10-21,right
ליאור כץ,10,קשר,כנף,active,,2009-12-02,left
שחר גבאי,11,כנף,מגן,active,,2009-01-07,right
איתן ברק,13,שוער,,active,,2009-11-19,right
יהב סגל,14,מגן,כנף,active,,2009-03-03,left
אופק רז,15,בלם,,active,,2009-06-12,right
ניב יצחק,16,קשר,מגן,active,,2009-08-25,right
רועי שחר,17,כנף,קשר,active,,2009-02-01,left
עמית צור,18,חלוץ,,active,,2009-04-17,right
גיא נבון,19,מגן,בלם,active,,2009-07-29,left
אלעד אורן,20,קשר,,injured,2026-09-20,2009-10-05,right
יונתן מור,21,בלם,מגן,active,,2009-11-28,left
אייל פלד,22,חלוץ,כנף,overload,2026-09-12,2009-05-09,right
בר לוי,23,כנף,קשר,active,,2009-09-30,left
תמיר דיין,24,קשר,,active,,2009-12-15,right
